coordinate,name,borough
"POINT(-73.97493980841755, 40.79902913535913)",HHP NB OVER RAMP FROM   96 ST,Manhattan
"POINT(-73.9422593399454, 40.85218716976461)",W 181 ST PED BRDGE OVER HHP NB,Manhattan
"POINT(-74.20337122724635, 40.52709137816262)",PARKWOOD AVE PEDESTRIAN BRDG,Staten Island
"POINT(-73.97843974954037, 40.71163585027713)",CORLEARS PARK ROAD OVER FDR DRV,Manhattan
"POINT(-73.95583903638837, 40.76107411042471)",EAST 64 ST PED BRDGE OVER FDR DR,Manhattan
"POINT(-74.14275939841329, 40.641012135009994)",BAYONNE BR PED AND BIKE,Staten Island
"POINT(-73.95198707143001, 40.76526236678691)",EAST 71 ST PED BRDGE OVER FDR DR,Manhattan
"POINT(-73.94831284914379, 40.769542526000556)",EAST 78 ST PED BRDGE OVER FDR DR,Manhattan
"POINT(-73.92159246792674, 40.87816625834845)",HENRY HUDSON BRIDGE NB RB,The Bronx
"POINT(-73.95076277848078, 40.755244091063574)",ED KOCH QUEENSBORO BR UPPER RDWY,Queens
"POINT(-73.99925104558386, 40.70798954999748)",BROOKLYN BRIDGE PED AND BIKE,Manhattan
"POINT(-73.95062166945662, 40.85125895248103)",GW BRIDGE BIKE AND PEDESTRIAN,Manhattan
"POINT(-73.91953924628643, 40.797956217569734)",RFK BRIDGE BRONX PED AND BIKE PATH,Manhattan
"POINT(-73.9580079079661, 40.75838361317757)",ED KOCH QUEENSBORO BR UPPER RDWY,Manhattan
"POINT(-73.91236996499501, 40.88658216476513)",235 ST-W 236 ST PED,The Bronx
"POINT(-73.95047951067171, 40.85123097024662)",GEORGE WASHINGTON BRDG UPPER RB,Manhattan
"POINT(-73.91536775251994, 40.86288246586459)",UNIV HEIGHTS BR BIKE AND PED,Manhattan
"POINT(-73.91393542379272, 40.86228005033905)",UNIV HEIGHTS BR BIKE AND PED,The Bronx
"POINT(-73.88644479606167, 40.57581024535166)",MARINE PY-GIL HODGES BR BIKE,Brooklyn
"POINT(-73.89874855730358, 40.604249929153696)",MILL BASIN,Brooklyn
"POINT(-73.89865064691031, 40.60466324186845)",BELT SHORE PKWY OVER MILL BASIN,Brooklyn
"POINT(-73.98590152410236, 40.58144823109271)",CROPSEY,Brooklyn
"POINT(-73.92413116209111, 40.87648712563077)",HENRY HUDSON BRIDGE SB RB,Manhattan
"POINT(-73.95054354422797, 40.851243574370486)",GEORGE WASHINGTON BRDG LOWER RB,Manhattan
"POINT(-73.94623816354101, 40.76374381841953)",ROOSEVELT IS BR PED & BIKE,Manhattan
"POINT(-73.97465434848654, 40.72125569962276)",EAST    6 ST PED BR OVER FDR DRV,Manhattan
"POINT(-73.8475843699289, 40.73909667385634)",COLONIAL AVE PEDESTRIAN,Queens
"POINT(-73.92154984417546, 40.878194468344084)",HENRY HUDSON BRIDGE SB RB,The Bronx
"POINT(-73.99934233022464, 40.70804305317223)",BROOKLYN,Manhattan
"POINT(-73.93449272624562, 40.828035026885935)",MACOMBS DAM,Manhattan
"POINT(-73.96481034016745, 40.65999080763808)",HILL DR OV PED PTH S BOATHOUSE,Brooklyn
"POINT(-73.92950035145736, 40.783046726371445)",WARDS ISLAND ANCHORAGE,Manhattan
"POINT(-73.92811720244192, 40.78120729499115)",WARDS ISLAND TOWER PEDESTAL,Manhattan
"POINT(-73.8487752379357, 40.747230396139976)",HALL OF SCIENCE,Queens
"POINT(-74.00701717096757, 40.72463475783338)",HOLLAND,Manhattan
"POINT(-73.88514373689752, 40.78672808734669)",RIKERS IS,The Bronx
"POINT(-73.94269883592102, 40.73904190947019)",BORDEN,Queens
"POINT(-73.79372123642588, 40.80223345814468)",THROGS NECK,The Bronx
"POINT(-73.8835129582936, 40.57123147087074)",MARINE PY-GIL HODGES MEMORIAL,Queens
"POINT(-73.94045346824683, 40.74082294350688)",HUNTERS POINT,Queens
"POINT(-73.81593046708394, 40.86185743277415)",PELHAM,The Bronx
"POINT(-73.91899412536172, 40.79905324698294)",ROBERT F KENNEDY,The Bronx
"POINT(-73.94196679736764, 40.73950320427952)",QUEENS MIDTOWN EXPRESSWAY,Queens
"POINT(-73.92906431305518, 40.72726078863402)",KOSCIUSZKO,Brooklyn
"POINT(-73.92856069572454, 40.72792339594827)",KOSCIUSZKO,Queens
"POINT(-73.97167508174749, 40.77870126250573)",OAK BRIDGE OVER THE LAKE,Manhattan
"POINT(-73.97241420202181, 40.778604189631274)",CNTRL PK W DR OV STREAM TO LAKE,Manhattan
"POINT(-73.96927222965952, 40.77922879978821)",CTRL PK 79 ST PED BR OVR TRNVS,Manhattan
"POINT(-74.01584220998345, 40.702110876118844)",HUGH L CAREY,Manhattan
"POINT(-73.97322876082366, 40.779207607861245)",W 77 ENTR OV PD PTH OPP W 77,Manhattan
"POINT(-73.73999760644608, 40.63525309279282)",HOOK CREEK,Queens
"POINT(-73.93304844725213, 40.82814940912705)",MACOMBS DAM,The Bronx
"POINT(-74.24551170371323, 40.51543522694929)",TRACY AVENUE PED BRIDGE OV SIRT,Staten Island
"POINT(-73.96852757728713, 40.71249220506745)",WILLIAMSBURG,Brooklyn
"POINT(-73.99104464417019, 40.76764191980286)",W 54 ST OV AMTRAK 30 ST BRANCH,Manhattan
"POINT(-73.94053201935218, 40.7332107026729)",JJ BYRNE MEMORIAL,Brooklyn
"POINT(-73.98914461070814, 40.6781996973448)",CARROLL,Brooklyn
"POINT(-73.8386900423433, 40.75700599076087)",ROOSEVELT,Queens
"POINT(-74.00241358552312, 40.68204784596203)",SUMMIT ST PEDESTRIAN,Brooklyn
"POINT(-74.19643756392541, 40.63552663821848)",GOETHALS,Staten Island
"POINT(-73.83274261709064, 40.74929524364993)",BOTANICAL GRDN,Queens
"POINT(-73.91828296517288, 40.88049657368337)",HENRY HUDSON PKWY OVR KAPPOCK ST,The Bronx
"POINT(-73.8423972385705, 40.74149628803932)",MEADOW,Queens
"POINT(-73.89184632789696, 40.77673740399411)",RIKERS ISLAND,Queens
"POINT(-73.91959679018679, 40.772406943424926)",RFK BR QUEENS PED AND BIKE PATH,Queens
"POINT(-73.83185289433808, 40.80526812065424)",WHITESTONE,The Bronx
"POINT(-73.8364934440449, 40.73706625478319)",MEADOW,Queens
"POINT(-73.92138723059898, 40.85251099580625)",HARLEM RIVER PARK,The Bronx
"POINT(-73.95054168791759, 40.85127859384619)",GEORGE WASHINGTON,Manhattan
"POINT(-74.10736618984349, 40.580620279916964)",MIDLAND AVENUE OVER SIRT S SHORE,Staten Island
"POINT(-73.8238485910341, 40.88771112667512)",EASTCHESTER,The Bronx
"POINT(-74.11952593905987, 40.62313547510035)",PED BR S OF BRK LK OV STRM IN PK,Staten Island
"POINT(-73.9709770785094, 40.7738136548694)",BETHESDA,Manhattan
"POINT(-73.90818626097973, 40.8936038031789)",246 ST BRDGE OV H HUDSON PKWY,The Bronx
"POINT(-73.8998711645034, 40.7562228625421)",I-278 SB BQE E LEG OVER BQE NB,Queens
"POINT(-73.96860897531987, 40.71258222848108)",WILLIAMSBURG BRIDGE MN BOUND,Brooklyn
"POINT(-73.8966130814903, 40.62202609202294)",BELT SHORE PKWY OV PAERDEGT BSN,Brooklyn
"POINT(-73.99378591068276, 40.70373038121957)",BROOKLYN BRIDGE WB RB,Brooklyn
"POINT(-73.98849776401566, 40.70011906262888)",BROOKLYN BRIDGE APP OV SANDS ST,Brooklyn
"POINT(-73.97178440451849, 40.775775398239034)",CENTRAL PARK BOW BRIDGE,Manhattan
"POINT(-73.93234444931683, 40.811583507288354)",METRO NORTH BRIDGE,The Bronx
"POINT(-73.98834653891076, 40.679490514758896)",UNION ST,Brooklyn
"POINT(-73.95064228884173, 40.75519147536801)",ED KOCH QUEENSBORO BR LOWER RDWY,Queens
"POINT(-73.99213830025131, 40.709596095894604)",MANHATTAN BRIDGE PEDESTRIAN,Manhattan
"POINT(-73.88366328863745, 40.57120288683841)",MARINE PY-GIL HODGES BR BIKE,Queens
"POINT(-73.9281968358793, 40.847041698823624)",WASHINGTON BR PED AND BIKE,Manhattan
"POINT(-73.82661642130311, 40.797182526598476)",WHITESTONE,Queens
"POINT(-73.79354615537696, 40.798570202687046)",THROGS NECK,Queens
"POINT(-73.9940329293965, 40.703748618397455)",BROOKLYN BRIDGE EB RB,Brooklyn
"POINT(-73.99889502333778, 40.70779333657764)",BROOKLYN BRIDGE WB RB,Manhattan
"POINT(-73.99901539809248, 40.707720868808806)",BROOKLYN BRIDGE EB RB,Manhattan
"POINT(-73.99160413324513, 40.70926380129842)",MANHATTAN BRIDGE WB ROADBED,Manhattan
"POINT(-73.99187498582822, 40.70923323197205)",MANHATTAN BRIDGE EASTBOUND RB,Manhattan
"POINT(-73.92226221469598, 40.78257465477763)",HELL GATE BRIDGE,Manhattan
"POINT(-73.92842435832476, 40.787846089768166)",RFK BR QUEENS PED AND BIKE PATH,Manhattan
"POINT(-73.98012951652284, 40.694821688444115)",INGERSOLL-WHITMAN HSNG PED,Brooklyn
"POINT(-73.96588174315553, 40.66060016144985)",LULLWATER,Brooklyn
"POINT(-73.9584298965512, 40.67261954880335)",ST JOHNS PL OVR FRANKLIN AV SHTL,Brooklyn
"POINT(-73.90554696839195, 40.8365524056877)",ST PAULS PLACE PEDESTRIAN,The Bronx
"POINT(-73.9546189026527, 40.58511528152712)",VOORHIES AVE-E 14 ST PED,Brooklyn
"POINT(-73.9685528826431, 40.712545916441734)",WILLIAMSBURG BR BIKE AND PED,Brooklyn
"POINT(-73.85295407029015, 40.671639859899514)",RAMP TO LINDN BL OV S CONDUIT AV,Queens
"POINT(-73.94053577072837, 40.74768882911129)",59 BR RAMP MNBD THOM AV OV JCKSN,Queens
"POINT(-73.94546607951762, 40.75125496795058)",59 BR RAMP MNBD 21 OVR 21 STREET,Queens
"POINT(-73.94596965934616, 40.7530330736488)",59 BR RAMP QNBD 11 ST OVR TRRN,Queens
"POINT(-73.94291891381111, 40.75143318497574)",59 BR RAMP QNBD TO 21 OV 22,Queens
"POINT(-73.98384733153982, 40.574188110546366)",M C U PARK,Brooklyn
"POINT(-73.94014855942636, 40.74643402005549)",59 BR RAMP QNBD THOM AV OV JCKSN,Queens
"POINT(-73.80306840968706, 40.88558041030778)",PLHM BAY PK EQUES PED BR OV AMTK,The Bronx
"POINT(-73.9201243747757, 40.82263233525437)",CONCSE VLG OV MTRO N HARLEM LINE,The Bronx
"POINT(-73.87556923486265, 40.86119819168339)",HESTER BRIDGE,The Bronx
"POINT(-73.96004544107207, 40.668246834066785)",CARROLL ST PEDESTRIAN,Brooklyn
"POINT(-73.8969079707687, 40.6222278285787)",BCIP WB OVER PAERDEGAT BASIN,Brooklyn
"POINT(-74.04115158736224, 40.620564192648004)",92 STREET PEDESTRIAN,Brooklyn
"POINT(-73.93066638276323, 40.84236068196091)",HIGH,Manhattan
"POINT(-73.93454864454048, 40.805642289880744)",3 AVE-E 128 STREET PED,Manhattan
"POINT(-73.93046745777006, 40.80318607891715)",HRD OV E 127 ST RMP TO/FR HRD NB,Manhattan
"POINT(-73.93295648010997, 40.862599130042916)",MARGRTCRBN DR OV PDPTH NR N ENTR,Manhattan
"POINT(-73.94599125830572, 40.847143518304556)",WEST 173 STREET PEDESTRIAN,Manhattan
"POINT(-73.92918228014625, 40.87277582026362)",HHP SB OV PED UNDRPAS AT INWD PK,Manhattan
"POINT(-73.891798482268, 40.684704353338645)",HIGHLAND PARK,Queens
"POINT(-73.98971369445104, 40.701456589277804)",I-278 BQE EB OVER WASHINGTON ST,Brooklyn
"POINT(-73.98970980385354, 40.70156708099897)",I-278 BQE WB OVER WASHINGTON ST,Brooklyn
"POINT(-73.98696616060002, 40.70062963011161)",I-278 RAMP TO BK BR OV PRSPCT ST,Brooklyn
"POINT(-73.93264383502428, 40.807485829066074)",3,Manhattan
"POINT(-73.97321844913552, 40.72424708531612)",10 STREET PEDESTRIAN,Manhattan
"POINT(-73.97760516127056, 40.77164149288616)",BRIDLE PTH W OV  65 TRNSV EB EN,Manhattan
"POINT(-73.97315801987772, 40.76790334000008)",CTRL PK E DR OV PED PTH 63 ST,Manhattan
"POINT(-73.97284431029134, 40.769017790405925)",CTRL PK E DR BR OV 65 ST TRNVS,Manhattan
"POINT(-73.97107425961504, 40.77369904041531)",72 CRSS DR OV PD PTH TO FOUNTN,Manhattan
"POINT(-73.96721211150005, 40.78439685234909)",CTL PK W DR OV 86 ST TRNSV RD,Manhattan
"POINT(-73.96506310007611, 40.7778650800329)",CTRL PK PED PTH E 79 OVR TRNVS,Manhattan
"POINT(-73.95786813947853, 40.80001336009142)",W 110 ENTR OV PED PTH OP W 109,Manhattan
"POINT(-73.96628787029466, 40.7753389900677)",CTRL PK GLADE ARC OV PD PTH 77,Manhattan
"POINT(-73.98456807959357, 40.785548449996334)",79 TRAF CIR OV 79 ST PED PLZ,Manhattan
"POINT(-74.01285715668847, 40.71737766613009)",TRIBECA,Manhattan
"POINT(-73.99898421971481, 40.708183200361724)",RMP TO FDR DR NB OV FDR DR S ST,Manhattan
"POINT(-73.99765030622694, 40.751494691916626)",W 31 OVER AMTRAK LAYUP TRACKS,Manhattan
"POINT(-73.98975650413499, 40.701469740463686)",I-278 BQE EB OVER CADMAN PLAZA,Brooklyn
"POINT(-73.98978199351261, 40.701573287947305)",I-278 BQE WB OVER CADMAN PLZ,Brooklyn
"POINT(-73.9707230007133, 40.670770975661995)",W DR OV PED PTH NR GRND ARMY PLZA,Brooklyn
"POINT(-73.96905378348801, 40.6711206981219)",E DR OV PED PTH NR GRAND ARMY PZ,Brooklyn
"POINT(-73.96906226287628, 40.66229690516962)",CENTER DRV OVER PED PATH STREAM,Brooklyn
"POINT(-73.96463964424616, 40.66030563971432)",EAST DRIVE OV PED PTH CENTER DR,Brooklyn
"POINT(-73.91914725145902, 40.87339593983286)",W 218 ST BR OV HARLEM RIV INLET,Manhattan
"POINT(-73.99681867422318, 40.7593283820971)",W 41 ST OV AMTRAK 30 ST BRCH,Manhattan
"POINT(-73.97450088597374, 40.7697707337906)",CTRL PK CENTER DR OV 65 TRNSV,Manhattan
"POINT(-73.97732309634394, 40.77151800839003)",CENTRAL PK W DR OV 66 ST TRANS,Manhattan
"POINT(-73.99838961236395, 40.67178024327592)",HAMILTON AVENUE BRIDGE NB RB,Brooklyn
"POINT(-73.99857675001128, 40.67146669345091)",HAMILTON AVENUE BRIDGE SB RB,Brooklyn
"POINT(-73.89635235186239, 40.68063164032973)",HIGHLAND BL WB OVER JRP EB EN,Brooklyn
"POINT(-73.88434596555777, 40.82289075166184)",BRUCKNER EXPWY SB OVER BX RIVER,The Bronx
"POINT(-73.88418733875558, 40.822748537825106)",BRUCKNER EXPWY NB OVER BX RIVER,The Bronx
"POINT(-73.91040070218935, 40.87416871205025)",BWAY BR OVR HARLEM RIV BX BD VEH,The Bronx
"POINT(-73.9278892794185, 40.8468567766992)",WASH BR 181 ST OVER HRLM RIV MN,Manhattan
"POINT(-73.97665468400376, 40.71448522905894)",DELANCEY ST PED BR OVER FDR DRV,Manhattan
"POINT(-73.9992606701556, 40.70850776805603)",FDR DRIVE SB OFF RAMP OVER S ST,Manhattan
"POINT(-73.9614726369321, 40.760245201254314)",E 60 ST FROM QUEENS OV 1 AV,Manhattan
"POINT(-74.0054162658212, 40.75585756353699)",W 33 ST OV AMTRAK 30 ST BRANCH,Manhattan
"POINT(-73.9846433824889, 40.78606759338232)",GARAGE RMP TO 79 ST OV BT BASIN,Manhattan
"POINT(-73.986777017136, 40.78076458037598)",HHP VIDCT OV AMTK W 72 TO 79,Manhattan
"POINT(-73.93385155771828, 40.81415929950735)",MADISON,Manhattan
"POINT(-73.93382359070797, 40.814152128989626)",MADISON AV BRDG PED & BIKE,Manhattan
"POINT(-74.19527143472402, 40.63744873023914)",ARTHUR KILL VERTICAL LIFT,Staten Island
"POINT(-74.00777283741368, 40.68530779843454)",HUGH L CAREY,Brooklyn
"POINT(-73.91530713818614, 40.862958899053396)",UNIVERSITY HEIGHTS,Manhattan
"POINT(-73.9625346901012, 40.79164413363634)",CTRL PK W DR OV 97 TRNVS,Manhattan
"POINT(-73.97313755148846, 40.74579837599411)",QUEENS MIDTOWN,Manhattan
"POINT(-73.98313982877876, 40.78515160243351)",WEST   79 STREET OVER AMTRAK,Manhattan
"POINT(-73.93525977159588, 40.7918597982238)",EAST 111 ST PED BRDG OVER FDR DR,Manhattan
"POINT(-73.9574736686134, 40.760123526799994)",FDR DR SB OV FDR DR NB E 62 ST,Manhattan
"POINT(-73.99515610610203, 40.76117652737859)",WEST   44 ST OVER AMTRAK   30 ST,Manhattan
"POINT(-73.95806128277657, 40.75839105385197)",ED KOCH QUEENSBORO,Manhattan
"POINT(-73.8424698066297, 40.82832616120207)",UNIONPORT,The Bronx
"POINT(-73.99456820362609, 40.76174636320376)",W 45 ST OV AMTRAK 30 ST BRANCH,Manhattan
"POINT(-73.9907326157418, 40.770015946074466)",W 57 ST OV AMTRAK 30 ST BRANCH,Manhattan
"POINT(-73.96984121682857, 40.76868549194492)",TRNVS 1WB OV PD PTH OPP 66,Manhattan
"POINT(-73.94381867390506, 40.84510598797264)",GWB OPP W  171 ST OV RIVSIDE DRV,Manhattan
"POINT(-73.97566872247131, 40.768540071917506)",CENTER DR OVR PED PATH 63 ST,Manhattan
"POINT(-73.97099498400065, 40.779946633013694)",CTL PK WEST DR OV 76 ST TRNVS RD,Manhattan
"POINT(-73.96277131340007, 40.781577794012264)",CTRL PK E DR OV 85 ST TRNVS RD,Manhattan
"POINT(-73.94128249509689, 40.851412529827996)",W 181 OVER RAMP TO WASHINGTON BR,Manhattan
"POINT(-73.94852530438179, 40.8364434373073)",RIVERSIDE DR OV W158 ST AMTRAK,Manhattan
"POINT(-73.93534754367815, 40.80701689214411)",E  129 ST PED BRDG OVER    3 AVE,Manhattan
"POINT(-73.94950865156542, 40.83431013205043)",155 STREET PEDESTRIAN,Manhattan
"POINT(-73.97888421715483, 40.7692758885288)",PINEBANK ARCH OVER BRIDLE PATH,Manhattan
"POINT(-73.90101380510536, 40.757701392231574)",I-278 SB BQE W LEG OVER 31 AVE,Queens
"POINT(-73.90000639557776, 40.757802840886214)",I-278 SB BQE E LEG OVER 31 AVE,Queens
"POINT(-73.89973028390531, 40.757772750094134)",I-278 NB BQE E LEG OVER 31 AVE,Queens
"POINT(-73.83896720957053, 40.76310233019205)",N BLVD WB TO I-678 SB OVR VACANT,Queens
"POINT(-73.99633283638622, 40.69974756376032)",I-278 BQE WB OVER FURMAN ST PROM,Brooklyn
"POINT(-73.99809712218733, 40.69602118610359)",I-278 BQE EB OV I-278 BQE WB,Brooklyn
"POINT(-73.87248103339243, 40.8243719184027)",BX RIV PY NB OV BRUCKNER EXPWY,The Bronx
"POINT(-73.87258258863245, 40.82440633964871)",BX RIV PY SB OV BRUCKNER EXPWY,The Bronx
"POINT(-73.97395465473141, 40.76936591609023)",PED BR OPP 65 ST OVR TRANSVRSE,Manhattan
"POINT(-73.9000921789087, 40.75625867299143)",I-278 SB BQE W LEG OVER 32 AVE,Queens
"POINT(-73.8995553592982, 40.75629626540291)",I-278 NB BQE E LEG OVER 32 AV,Queens
"POINT(-73.89970589021237, 40.75620681132827)",I-278 NB BQE W LEG OVER 32 AVE,Queens
"POINT(-73.89859871412746, 40.754180692691435)",I-278 BQE OVER NORTHERN BLVD,Queens
"POINT(-73.89755243657311, 40.75243448865847)",I-278 BQE OVER   34 AVENUE,Queens
"POINT(-73.89718329504227, 40.7506074902842)",I-278 BQE OVER   35 AVENUE,Queens
"POINT(-73.91750363506371, 40.770587031014685)",31 STREET OVER I-278 BQE,Queens
"POINT(-73.91665874269337, 40.77014598607983)",32 STREET OVER I-278 BQE,Queens
"POINT(-73.91461745316586, 40.769736164523444)",35 STREET OVER I-278 BQE,Queens
"POINT(-73.91268650000558, 40.76947384019005)",37 STREET OVER I-278 BQE,Queens
"POINT(-73.91047832443154, 40.769210133760346)",STEINWAY ST OVER I-278 BQE EB,Queens
"POINT(-73.91077165369028, 40.7689667857654)",STEINWAY ST OVER I-278 BQE WB,Queens
"POINT(-73.89631352807373, 40.74876776617613)",BROADWAY OVER I-278 BQE,Queens
