coordinate,name,borough
"POINT(-73.9933438733377, 40.71120134743109)",COLEMAN PLAYGROUND,Manhattan
"POINT(-73.95140954791437, 40.79336301736523)",EL MUSEO DEL BARRIO,Manhattan
"POINT(-73.86787633706862, 40.873717199404446)",MAGENTA PG,The Bronx
"POINT(-73.92270621467159, 40.816376485438816)",PS 18,The Bronx
"POINT(-73.86378395196482, 40.72904765933684)",RED APPLE PRESCHOOL BOOTH ST,Queens
"POINT(-73.90294342115996, 40.82869620725895)",YOUTH VILLAGE PG,The Bronx
"POINT(-73.9517661995687, 40.797535345057064)",CENTRAL PARK 110 ST & LENOX AVE PLAYGROUND,Manhattan
"POINT(-73.9964978184458, 40.731701161246185)",NEW YORK UNIVERSITY GLUCKSMAN IRELAND HOUSE,Manhattan
"POINT(-73.95207821543622, 40.82060197612743)",J SCHIFF PLGD,Manhattan
"POINT(-73.92191861013666, 40.815808464448764)",PATTERSON PLAYGROUND,The Bronx
"POINT(-73.9627527476887, 40.682402409284215)",ADLEPHI POST OFFICE,Brooklyn
"POINT(-73.97141820831193, 40.75666653974971)",DOUBLETREE METROPOLITAN HOTEL,Manhattan
"POINT(-73.97214050094965, 40.60046717075474)",MAC DONALD PLAYGROUND,Brooklyn
"POINT(-73.96586110427415, 40.67832814488567)",PS 9,Brooklyn
"POINT(-73.94834452917836, 40.71959420739195)",JOHN ERICSSON MIDDLE SCHOOL 126,Brooklyn
"POINT(-73.90725363489256, 40.85602620206256)",GRAND AVENUE PG,The Bronx
"POINT(-73.93712334083183, 40.79989262241919)",PS 96,Manhattan
"POINT(-73.95096479568588, 40.792711431484065)",REESE SCHOOL,Manhattan
"POINT(-73.8985476714322, 40.823662692523406)",BRONX REGIONAL HIGH SCHOOL,The Bronx
"POINT(-73.9369851597854, 40.694169655817106)",ROOSEVELT II PROJECTS BLDG 7,Brooklyn
"POINT(-73.93454775290094, 40.705975002083655)",G RAMIREZ PARK,Brooklyn
"POINT(-73.9107441516335, 40.8237929994112)",BORICUA COLLEGE,The Bronx
"POINT(-74.00889190602228, 40.70117025334374)",HELIPORT DOWNTOWN,Manhattan
"POINT(-73.89854484794698, 40.82358606190791)",ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,The Bronx
"POINT(-73.9233623615248, 40.82251705062491)",BX LEADERSHIP ACADEMY II HS,The Bronx
"POINT(-73.92342297492785, 40.82246173366424)",HS FOR CAREER IN SPORTS,The Bronx
"POINT(-73.89728913524398, 40.827405203448414)",THE METROPOLITAN HIGH SCHOOL,The Bronx
"POINT(-73.84587796036638, 40.850489345824386)",MAX AND SADIE FRIEDMAN LOUNGE,The Bronx
"POINT(-73.84521905493907, 40.850485485571724)",EINSTEIN COLLEGE GOLDING BLDG,The Bronx
"POINT(-73.84505326573425, 40.85094092726942)",BELFER EDUCATIONAL CENTER,The Bronx
"POINT(-73.97108804233783, 40.750817723369934)",SYRIAN ARAB MISSN RM 1500,Manhattan
"POINT(-73.83145751381541, 40.79453998702035)",POWELL'S COVE,Queens
"POINT(-73.8586202916274, 40.82905992487871)",HAVILAND PLAYGROUND,The Bronx
"POINT(-74.03640519744265, 40.60668743794879)",THE NARROWS,Brooklyn
"POINT(-73.84551069970621, 40.84985796132599)",EINSTEIN COLLEGE ROBBINS AUDITORIUM,The Bronx
"POINT(-74.00923913625454, 40.66080798470897)",GOWANUS BAY,Brooklyn
"POINT(-73.93930189294524, 40.734141757459845)",GETTY TERMINAL,Queens
"POINT(-74.19407018144821, 40.56833978993085)",SANITATION BOROUGH REPAIR SHOP,Staten Island
"POINT(-73.87873101621012, 40.84946345026884)",BX ZOO WORLD OF REPTILES,The Bronx
"POINT(-74.19399536264046, 40.568172765557925)",DSNY GARAGE S I 3,Staten Island
"POINT(-73.88155631581776, 40.85119873526233)",BX ZOO SOUTH ADMIN BUILDING,The Bronx
"POINT(-73.92470190694101, 40.68716811177706)",OL GOOD COUNSEL CHURCH PUTNAM AV,Brooklyn
"POINT(-73.91759323769956, 40.63365496519448)",SOUTH SHORE EDUCATIONAL CAMPUS,Brooklyn
"POINT(-73.87632148648494, 40.850230666655435)",BX PARK ZOO,The Bronx
"POINT(-73.98417950394229, 40.72982665828932)",PS 19 ASHER LEVY,Manhattan
"POINT(-73.96298040117617, 40.64519498372685)",CCNS/DE PAUL HEAD START,Brooklyn
"POINT(-73.97156372450884, 40.750245909524516)",SOLOMON ISLANDS MISSION,Manhattan
"POINT(-73.95989155709634, 40.695318456026875)",PS 157 BENJAMIN FRANKLIN,Brooklyn
"POINT(-73.95969853958866, 40.76050056526295)",ABIGAIL ADAMS SMITH MUSEUM,Manhattan
"POINT(-73.93641656530048, 40.66394829764765)",PS 221 TOSSAINT LOUVERTURE,Brooklyn
"POINT(-73.94948219144247, 40.7983330584946)",PS 185 JOHN M LANGSTON,Manhattan
"POINT(-73.84587498475345, 40.85175258257401)",EINSTEIN COLLEGE PRICE CENTER,The Bronx
"POINT(-74.05056053151998, 40.63417422711148)",GOWANUS FLATS LIGHTED BELL BUOY 22,Brooklyn
"POINT(-73.84121348319175, 40.856065772512444)",RHINELANDER RESIDENCE HALL,The Bronx
"POINT(-73.94519604491987, 40.69912983928024)",PS 373 BROOKLYN TRANSITION CENTER,Brooklyn
"POINT(-73.95039756158637, 40.79837569793876)",HARLEM LINK CHARTER SCHOOL,Manhattan
"POINT(-73.84488731916744, 40.8522057208285)",FALK RECREATION CENTER,The Bronx
"POINT(-73.84386345799655, 40.85292705084931)",EINSTEIN COLLEGE PARKING GARAGE,The Bronx
"POINT(-73.91763085433209, 40.63327562540107)",BROOKLYN GENERATION SCHOOL,Brooklyn
"POINT(-73.9918219147884, 40.71137164091024)",RUTGERS HOUSES BUILDING 2,Manhattan
"POINT(-73.9176611904684, 40.63325637664495)",BROOKLYN THEATRE ARTS HIGH SCHOOL,Brooklyn
"POINT(-73.8722936822117, 40.837408593931855)",NOBLE PLGD,The Bronx
"POINT(-73.84447989011925, 40.8526203153058)",EINSTEIN COLLEGE EASTCHESTER ROAD RESIDENCE COMPLEX,The Bronx
"POINT(-73.8648764779807, 40.88804885054674)",BRONX RIVER PARKWAY EAST,The Bronx
"POINT(-73.74564898225843, 40.65947479293088)",BROOKVILLE PARK,Queens
"POINT(-73.9175196850534, 40.63335708474412)",VICTORY COLLEGIATE HIGH SCHOOL,Brooklyn
"POINT(-73.93643768568754, 40.82592700071202)",HARLEM RIVER HOUSES BLDG 3,Manhattan
"POINT(-73.93076614646343, 40.79791660894024)",WAGNER HOUSES BUILDING 3,Manhattan
"POINT(-73.97803636517247, 40.74004119946556)",BELLEVUE SOUTH PARK,Manhattan
"POINT(-73.97732674150384, 40.71626061053977)",BARUCH HOUSES BUILDING 5,Manhattan
"POINT(-73.94963116806444, 40.78740649388479)",LEXINGTON HOUSES,Manhattan
"POINT(-73.99315117399479, 40.69391640422901)",BK HEIGHTS SYNAGOGUE,Brooklyn
"POINT(-73.91741489737149, 40.63342369513915)",BROOKLYN BRIDGE ACADEMY,Brooklyn
"POINT(-73.9661491733975, 40.75243499986198)",HONDURAS MISSION 5 FL,Manhattan
"POINT(-73.9698563979991, 40.76945685853913)",B JOHNSON PG,Manhattan
"POINT(-73.83968118180927, 40.88538865018842)",JOHN PHILIP SOUSA PLGD,The Bronx
"POINT(-73.95663329821973, 40.787720159909874)",E 96 ST PLGD,Manhattan
"POINT(-73.95440623364257, 40.790437525910455)",BENDHEIM PG,Manhattan
"POINT(-73.82237404966469, 40.74914111071246)",RACHEL CARSON PLAYGROUND,Queens
"POINT(-73.8197245091134, 40.7482962618015)",JEHOVAHS WITNESS KINGDOM HALL FLUSHING,Queens
"POINT(-73.95245092701664, 40.793754049860105)",CONSERVATORY GARDEN,Manhattan
"POINT(-73.97183644145898, 40.771748943149184)",THE MALL,Manhattan
"POINT(-73.87998122672174, 40.850236454081966)",BX ZOO STORE,The Bronx
"POINT(-73.87819580888664, 40.8499873884295)",BX ZOO GRAPHICS BUILDING,The Bronx
"POINT(-73.88126288437039, 40.85057120726754)",BRONX ZOO SOUTHERN BL PARKING,The Bronx
"POINT(-73.88924064471829, 40.814951573245466)",HUNTS POINT RECREATION CENTER,The Bronx
"POINT(-73.96878498278006, 40.78011344440243)",CENTRAL PARK SHAKESPEARE THEATER,Manhattan
"POINT(-73.92341324312987, 40.70506398403315)",STARR THEATRE,Brooklyn
"POINT(-73.99573249003487, 40.74726151516646)",FIT FACULTY HALL,Manhattan
"POINT(-73.96604733104583, 40.75238906674325)",FINLAND CONSULATE 15 FL,Manhattan
"POINT(-73.96781364017679, 40.77213571402703)",CENTRAL PARK EAST 72 STREET PLAYGROUND,Manhattan
"POINT(-73.9442106791327, 40.80655080774853)",ANTIOCH GOD CHRST,Manhattan
"POINT(-74.04661632633879, 40.63411583784134)",BAY RIDGE CHANNEL LIGHTED GONG BUOY 3,Brooklyn
"POINT(-73.88838884288432, 40.81534166235989)",ST IGNATIUS SCHOOL,The Bronx
"POINT(-73.96165566267506, 40.78084159489858)",CENTRAL PK ANCIENT PLGD,Manhattan
"POINT(-73.97095638922184, 40.78223782231229)",CENTRAL PK D ROSS PG,Manhattan
"POINT(-73.97629317017069, 40.69931578555374)",BROOKLYN NAVY YARD BUILDING 41,Brooklyn
"POINT(-73.94368478199605, 40.80631485484833)",MADES OF MARY COMMUNITY,Manhattan
"POINT(-73.97082957445534, 40.77431138418789)",BETHESDA FOUNTAIN,Manhattan
"POINT(-73.82542165526392, 40.74917913256476)",KISSENA CORRIDOR WEST,Queens
"POINT(-73.8230036572303, 40.749902019802924)",SILENT SPRINGS PLAYGROUND,Queens
"POINT(-73.75276445059839, 40.676772620364)",ST MARY CHURCH MAGDALENE,Queens
"POINT(-74.18482572972398, 40.61326323814835)",STATEN ISLAND SPORTSMENS,Staten Island
"POINT(-73.97099833976667, 40.77393646748859)",BETHESDA TERRACE,Manhattan
"POINT(-73.95454727108483, 40.79646930888226)",LASKER ICE SKATING RINK AND POOL,Manhattan
"POINT(-73.85586800423381, 40.87245312681339)",SOCIAL SECURITY LACONIA AV,The Bronx
"POINT(-73.94704702660405, 40.63419225818609)",NATIONAL/FAMILY HEAD START #1,Brooklyn
"POINT(-73.96321843443587, 40.767347182387276)",PARK EAST DAY SCHL,Manhattan
"POINT(-73.97169488707445, 40.750023309180825)",GUINEA BISSAU 6 FL,Manhattan
"POINT(-73.94710270195291, 40.63423969506986)",JUNCTION SENIOR CITIZEN CENTER,Brooklyn
"POINT(-73.99462966939545, 40.74669135667565)",FASHION INST ALUMNI HALL,Manhattan
"POINT(-73.95991772071258, 40.779033620282654)",CZECHOSLOVAKIA MISIN,Manhattan
"POINT(-73.9954043093323, 40.747059878258405)",FIT CO-ED DORMITORY,Manhattan
"POINT(-73.86217375627594, 40.87649251209526)",BRONXWOOD HOME,The Bronx
"POINT(-73.81414889103654, 40.79057634117891)",HOLY CROSS NURSERY,Queens
"POINT(-73.97564509447272, 40.74976547360588)",IRANIAN MISSION,Manhattan
"POINT(-73.97216078563491, 40.75032719547283)",GUYANA CONSUL MISION 25FL,Manhattan
"POINT(-73.97164729307889, 40.750075482361545)",ISRAEL CONSUL MISION 14FL,Manhattan
"POINT(-73.9717073662419, 40.74998029489169)",DOMINICA MISSION TO UN,Manhattan
"POINT(-73.9562973078227, 40.77909562671375)",KEHILATH JESHURUN,Manhattan
"POINT(-73.94364968130894, 40.80636615972682)",ST BENEDICT DAY NURSERY,Manhattan
"POINT(-73.91211219868316, 40.7038671430053)",JEAN RICHTER SCHL,Queens
"POINT(-74.00808334759513, 40.610180377456444)",ST FRANCES CABR CH,Brooklyn
"POINT(-73.94184393545719, 40.63948429230528)",MCAULEY HS,Brooklyn
"POINT(-73.90520723213719, 40.68328952829199)",RUDD PLAYGROUND,Brooklyn
"POINT(-73.94996110695202, 40.63223044230854)",BROOKLYN COLL WHITEHEAD HALL,Brooklyn
"POINT(-73.94861298041388, 40.63124486703995)",WHITMAN AUDITORIUM,Brooklyn
"POINT(-73.93876488762191, 40.71862158380641)",COOPER PARK PROJECTS COMPLEX,Brooklyn
"POINT(-73.8798354015138, 40.815120260233876)",HUNTS PNT PRODUCE MKT BLDG B EXT,The Bronx
"POINT(-73.93842930056147, 40.71894201707994)",COOPER PARK HOUSES BUILDING 5,Brooklyn
"POINT(-73.99520223623924, 40.73135597637924)",NEW YORK UNIVERSITY DEUTSCHES HAUS,Manhattan
"POINT(-73.87904025700865, 40.81529553833971)",HUNTS POINT PRODUCE MKT BLDG C EXTENSION,The Bronx
"POINT(-73.87234965027645, 40.806829751947085)",HUNTS POINT MEAT MARKET BLDG A,The Bronx
"POINT(-73.87390449036717, 40.67222797571471)",CYPRESS HILLS PROJECTS BLDG 3,Brooklyn
"POINT(-73.93793157698612, 40.71906349578746)",COOPER PARK HOUSES BUILDING 6,Brooklyn
"POINT(-73.8737067492496, 40.80653254734524)",HUNTS POINT MEAT MARKET BLDG B,The Bronx
"POINT(-73.99936552811516, 40.73034928689589)",NEW YORK UNIVERSITY VANDERBILT HALL,Manhattan
"POINT(-73.87386677130608, 40.8051606537684)",HUNTS POINT MEAT MARKET BLDG C,The Bronx
"POINT(-73.87259050355267, 40.80864754377541)",HUNTS POINT MEAT MARKET BLDG D,The Bronx
"POINT(-73.99894417051053, 40.73011519189287)",NEW YORK UNIVERSITY FURMAN HALL,Manhattan
"POINT(-74.09398414847222, 40.61358151320449)",WAGNER COLLEGE FOUNDATION HALL,Staten Island
"POINT(-73.9948427301344, 40.73053920406359)",NEW YORK UNIVERSITY RUFUS D SMITH HALL,Manhattan
"POINT(-74.00161808325458, 40.73032050726791)",MINETTA GREEN,Manhattan
"POINT(-73.99542201361199, 40.73125273268636)",NEW YORK UNIVERSITY INSTITUTE OF FRENCH STUDIES,Manhattan
"POINT(-73.99588669633914, 40.73112202071446)",NEW YORK UNIVERSITY FACULTY OF ARTS & SCIENCE,Manhattan
"POINT(-74.0929782136842, 40.61341013609452)",WAGNER COLLEGE PARKER HALL,Staten Island
"POINT(-73.99440210201041, 40.73122333898141)",NEW YORK UNIVERSITY CANTOR FILM CENTER,Manhattan
"POINT(-73.87482575219832, 40.80716618472526)",HUNTS POINT MEAT MARKET BLDG F,The Bronx
"POINT(-73.95419331231693, 40.76436949469644)",NY CORNELL MEDICAL COLLEGE,Manhattan
"POINT(-73.96739738450363, 40.66403791476822)",MIDWOOD,Brooklyn
"POINT(-73.9769165579871, 40.663500663394814)",PROSPECT PK HARMONY PLGD,Brooklyn
"POINT(-74.00001719471956, 40.73079201711576)",PROVINCETOWN THTR,Manhattan
"POINT(-73.99785822334118, 40.73210823178464)",NEW YORK UNIVERSITY 22 WASHINGTON SQ N,Manhattan
"POINT(-73.87386582889532, 40.80383081602463)",HUNTS POINT MEAT MARKET BLDG G,The Bronx
"POINT(-73.88020326892591, 40.812299301690004)",HUNTS POINT PRODUCE MKT BLDG A,The Bronx
"POINT(-73.97155674243318, 40.66424214742469)",PROSPECT PARK THE AMBERGILL,Brooklyn
"POINT(-73.99764831952807, 40.732053754261486)",SENIOR CENTER ON THE SQUARE,Manhattan
"POINT(-73.96762589553408, 40.65316906952333)",PROSPECT PARK - THE PERISTYLE,Brooklyn
"POINT(-73.91237479409878, 40.86884047203379)",DSNY GARAGE MANHATTAN 12,Manhattan
"POINT(-73.9696808170247, 40.66135336367152)",PROSPECT PARK COMPLEX,Brooklyn
"POINT(-73.92460113659766, 40.79303556248646)",DPR CARL ICAHN STADIUM,Manhattan
"POINT(-73.92723665764007, 40.85435234879065)",ISABELLA CHILD DAY CARE CENTER,Manhattan
"POINT(-73.76450883959286, 40.75577367402695)",CAPTAIN DERMODY TRIANGLE,Queens
"POINT(-73.77511055987802, 40.726371609313716)",CUNNINGHAM PARK UPPER PLAYGROUND,Queens
"POINT(-73.89839122926897, 40.83946373628905)",CROTONA PARK POOL,The Bronx
"POINT(-74.12364936246304, 40.560577622927674)",CLAWSON PLAYGROUND,Staten Island
"POINT(-74.0068770384095, 40.712386969156945)",CITY HALL PARK,Manhattan
"POINT(-73.87919210862569, 40.812832770712156)",HUNTS POINT PRODUCE MKT BLDG B,The Bronx
"POINT(-73.87825585335057, 40.8126632894143)",HUNTS POINT PRODUCE MKT BLDG C,The Bronx
"POINT(-73.95428390698406, 40.78875270230498)",ST BERNARDS SCHOOL,Manhattan
"POINT(-73.79916216149053, 40.60068788298396)",GRASS HASSOCK CHANNEL BUOY 16,Queens
"POINT(-73.87723237836286, 40.81266940401253)",HUNTS POINT PRODUCE MKT BLDG D,The Bronx
"POINT(-73.94212586754192, 40.75491218982709)",QUEENSBRIDGE NORTH HOUSES BUILDING 2,Queens
"POINT(-73.9352037106086, 40.762840224972585)",RAVENSWOOD PLAYGROUND,Queens
"POINT(-74.20355946467133, 40.572803347067)",GREAT FRESH KLS,Staten Island
"POINT(-73.94376703848505, 40.75306034692417)",QUEENSBRIDGE SOUTH HOUSES BUILDING 7,Queens
"POINT(-73.96257486591178, 40.657993470862095)",PROSPECT PARK OCEAN AVE ENTRANCE,Brooklyn
"POINT(-73.96785831628691, 40.65679337394641)",PROSPECT PARK PENINSULA,Brooklyn
"POINT(-73.839663967804, 40.755332037492835)",FLUSHING CREEK,Queens
"POINT(-73.94359574996524, 40.755697180221226)",QUEENSBRIDGE NORTH HOUSES BUILDING 10,Queens
"POINT(-73.89482487108637, 40.858910545020294)",PS 85,The Bronx
"POINT(-73.81649725962569, 40.729822926091465)",VLEIGH PLAYGROUND,Queens
"POINT(-73.94415546550987, 40.75515518598282)",QUEENSBRIDGE NORTH HOUSES BUILDING 11,Queens
"POINT(-73.88326657171875, 40.64286955679254)",FRESH CRK BASIN,Brooklyn
"POINT(-73.92306282706478, 40.63476166062599)",PARKWAY PRE-SCH,Brooklyn
"POINT(-73.90905415032849, 40.79382543745849)",EAST RIVER,Queens
"POINT(-74.03158501870774, 40.65104199376351)",BAY RIDGE CHANNEL,Brooklyn
"POINT(-74.06132419056526, 40.66570384182913)",JERSEY FLATS,
"POINT(-73.92306388638644, 40.6347753611536)",GLENWOOD JEWISH CTR,Brooklyn
"POINT(-73.95758925487766, 40.76067604476901)",ROCKEFELLER UNIVERSITY FACULTY HOUSE,Manhattan
"POINT(-74.1658213053541, 40.58220912855937)",STATEN ISLAND MALL CITIBANK,Staten Island
"POINT(-73.99049120287816, 40.58792217250254)",DRIER POOL/PLYGRND,Brooklyn
"POINT(-74.0037337221697, 40.75602089328653)",JAVITS CONVENTION CTR ADMIN PARKING,Manhattan
"POINT(-73.94464270104352, 40.75478478375146)",QUEENSBRIDGE SOUTH HOUSES BUILDING 14,Queens
"POINT(-73.94484984049842, 40.75434290371643)",QUEENSBRIDGE SOUTH HOUSES BUILDING 15,Queens
"POINT(-73.99418761418657, 40.75291145029285)",MANHATTAN CENTER AUDITORI,Manhattan
"POINT(-73.94611975592662, 40.69614597515436)",TOMPKINS HOUSES BUILDING 7,Brooklyn
"POINT(-74.1900273231618, 40.59606218457263)",NECK CREEK PARK,Staten Island
"POINT(-74.01194921261595, 40.68248141674386)",ATLANTIC BASIN,Brooklyn
"POINT(-73.90941003332892, 40.69989560096907)",DET ANTHONY J VENDITTI SQUARE,Queens
"POINT(-74.17466714727446, 40.5318301498026)",BLUE HERON PARK,Staten Island
"POINT(-74.01341327269381, 40.71849059779887)",PIER 23-HARRISN ST,Manhattan
"POINT(-73.92467083912308, 40.83163639247638)",JOHN MULLALY BASKETBALL COURTS,The Bronx
"POINT(-73.84602792447652, 40.786225067702745)",POPPENHUSEN LIBRARY,Queens
"POINT(-73.99798884522995, 40.6831951130781)",CARROLL GARDENS LIBRARY,Brooklyn
"POINT(-73.86819939040691, 40.757577302129484)",LANGSTON HUGHES LIBRARY,Queens
"POINT(-74.01414799882492, 40.72019923632829)",PIER 25,Manhattan
"POINT(-73.80871184070796, 40.585377305813815)",ROCKAWAY PLAYGROUND NORTH,Queens
"POINT(-73.87625888834769, 40.86992781669679)",FRENCH CHARLEY PLAYGROUND,The Bronx
"POINT(-73.89448623606286, 40.85873535053906)",PS 85 ANNX,The Bronx
"POINT(-73.99973752340391, 40.74607267467478)",SVA THEATRE,Manhattan
"POINT(-73.95331959295589, 40.676508342146995)",WASHINGTON TEMPLE CHURCH GOD,Brooklyn
"POINT(-74.01345384959778, 40.71839514632326)",PIER 22-JAY ST,Manhattan
"POINT(-73.89513983375296, 40.85831508932573)",ROUND THE CLOCK NURSERY MARION AV,The Bronx
"POINT(-73.97266225481468, 40.75370413776319)",POLAND MISSION,Manhattan
"POINT(-73.9723303593725, 40.76001860594201)",PRINCIPE MSSN #604,Manhattan
"POINT(-73.98129468709837, 40.74971531035662)",POLAND CONSULATE,Manhattan
"POINT(-73.97257965150192, 40.74686345768683)",INDONESIA MISSION,Manhattan
"POINT(-73.97160068548129, 40.750142566259214)",MALDIVES MISSION 21 FL,Manhattan
"POINT(-73.96474307307412, 40.75315908299752)",LUXEMBOURG CONS,Manhattan
"POINT(-74.01337116375261, 40.71861400329962)",PIER 21-DUANE ST,Manhattan
"POINT(-74.01023735077383, 40.7125112475316)",EMPLOYEE ASSISTANCE UNIT,Manhattan
"POINT(-73.96423545755596, 40.663748971593286)",PROSPECT PARK CAROUSEL,Brooklyn
"POINT(-73.8948129250244, 40.891137952806986)",VAN CORTLANDT MANSION,The Bronx
"POINT(-73.97157529926078, 40.665560041472354)",PROSPECT PARK PICNIC HOUSE,Brooklyn
"POINT(-73.85635372331929, 40.865638219888474)",LITTLE STARS TOO EARLY CHILDHOOD CENTER,The Bronx
"POINT(-73.96276558763203, 40.80861075008201)",COLUMBIA UNIVERSITY EARL HALL,Manhattan
"POINT(-73.97673366699573, 40.663353684892925)",PROSPECT PARK BANDSHELL,Brooklyn
"POINT(-73.96379749996966, 40.664344231439436)",LEFFERTS' HOUSE,Brooklyn
"POINT(-73.93153778586252, 40.830704400466615)",SUMMIT PLAYGROUND,The Bronx
"POINT(-73.84609211102395, 40.87226149297522)",LITTLE STARS 3 EARLY CHILDHOOD CENTER,The Bronx
"POINT(-73.84560781154748, 40.684082656035706)",VIP I DAYCARE CENTER WOODHAVEN BLVD,Queens
"POINT(-73.984564723495, 40.727053806061974)",GEORGE JACKSON ACADEMY,Manhattan
"POINT(-73.9671344272086, 40.662012598311904)",PROSPECT PARK - MUSIC PAGODA,Brooklyn
"POINT(-73.95859132826276, 40.80971606746745)",BARNARD COLLEGE PLIMPTON HALL,Manhattan
"POINT(-73.9684127747063, 40.751165793203576)",QATAR MISSION 4 FL,Manhattan
"POINT(-73.96356347503973, 40.661994777195545)",WILLINK HILL,Brooklyn
"POINT(-73.76837576621885, 40.61371765410781)",JAMAICA BAY PARK,Queens
"POINT(-73.98017042412806, 40.69014942617469)",ARNOLD & MARIE SCHWARTZ COLLEGE OF PHARMACY AND HEALTH SCIENCES,Brooklyn
"POINT(-73.95997496351768, 40.809393509231136)",COLUMBIA UNIVERSITY MUDD BUILDING,Manhattan
"POINT(-73.92245001621205, 40.72389232993547)",MASPETH CREEK,Queens
"POINT(-73.94617778881097, 40.83877949272644)",LILY BROWN PLAYGROUND,Manhattan
"POINT(-73.94989614626722, 40.763080082990356)",CHILD SCHOOL WESTVIEW BUILDING,Manhattan
"POINT(-73.837728117659, 40.65445991387628)",SHELL BANK BASIN,Queens
"POINT(-74.00554576965442, 40.72019555118255)",BEACH ST PARK,Manhattan
"POINT(-73.86149657993946, 40.84685252516282)",MATTHEWS & MULINER PG,The Bronx
"POINT(-73.97782504144814, 40.68662018009273)",BK ACADEMY OF MUSIC,Brooklyn
"POINT(-73.9087967521559, 40.824547968663495)",FIVE STAR DAY CARE CENTER,The Bronx
"POINT(-73.97030951061761, 40.664395539873276)",PROSPECT PARK THE RAVINE,Brooklyn
"POINT(-73.8876719133308, 40.85027831619035)",BELMONT PG,The Bronx
"POINT(-73.95016846281102, 40.762981169722856)",CHILD SCHOOL ISLAND HOUSE,Manhattan
"POINT(-73.93268624252038, 40.7679538181197)",ASTORIA HEALTH PLAYGROUND,Queens
"POINT(-73.92417460671685, 40.79419893375333)",RANDALL'S IS FIELD 10,Manhattan
"POINT(-73.85746444654983, 40.66279099561379)",SPRING CREEK PARK ADDITION,Queens
"POINT(-73.9572439711659, 40.78418511713317)",SPENCE SCHOOL,Manhattan
"POINT(-73.94091313284365, 40.66258554070644)",HAMILTON MEMORIAL PARK,Brooklyn
"POINT(-74.24693829022874, 40.51534469276898)",TOTTENVILLE MARINA,Staten Island
"POINT(-73.95713011995156, 40.76680721129521)",IRA S ROBBINS PLZ COMMUNITY CTR,Manhattan
"POINT(-73.94601383256301, 40.784257628842795)",PLAYGROUND 96,Manhattan
"POINT(-73.91222077865847, 40.67444617387238)",OCEAN HILL PLGD,Brooklyn
"POINT(-73.86707850470215, 40.883974346575314)",BX PK 219 ST PLGD,The Bronx
"POINT(-73.98220177792952, 40.787047000878104)",RIVER RUN PLAYGROUND,Manhattan
"POINT(-73.95798744807955, 40.69193371105009)",STAR SPANGLED BANNER PLAYGROUND,Brooklyn
"POINT(-73.79134549303909, 40.69463702411009)",MCKINLEY'S CHILDREN'S GARDEN,Queens
"POINT(-73.82700259783516, 40.8802117751886)","COLLEGE OF NEW ROCHELLE, THE / SCHOOL OF NEW RESOURCES/CO-OP CITY CAMPUS",The Bronx
"POINT(-73.9335758657872, 40.590176681847595)",CONEY ISLAND TREATMENT PLANT,Brooklyn
"POINT(-74.121124501468, 40.6271403944205)",CLOVES LAKES PARK-SATURN PLAY EQUIPMENT,Staten Island
"POINT(-73.95799382406331, 40.80644184371484)",MORNINGSIDE PARK PLAYGROUND W 117 ST,Manhattan
"POINT(-73.91436091292005, 40.85125313575545)",MORTON PLAYGROUND,The Bronx
"POINT(-73.80188974063248, 40.58637737348272)",ROCKAWAY BEACH PLAYGROUND,Queens
"POINT(-73.96495854755591, 40.653809221878724)",PROSPECT PARK PARKSIDE AVE ENTRANCE,Brooklyn
"POINT(-73.98416915814275, 40.74118457467684)",HOMELESS SHELTER 69 INFANTRY ARMORY,Manhattan
"POINT(-73.80987487499193, 40.584975440878885)",ROCKAWAY PLAYGROUND - M,Queens
"POINT(-73.84555690727898, 40.8387315160765)",PEARLY GATES PG,The Bronx
"POINT(-74.09316807856675, 40.635368689107864)",GOODHUE PLGD,Staten Island
"POINT(-73.95709471338357, 40.76677873281636)",LENOX HILL SENIOR CENTER,Manhattan
"POINT(-73.97793255874626, 40.718603655453435)",BARUCH HOUSES BUILDING 10,Manhattan
"POINT(-73.92011954377243, 40.798853471856944)",BRONX SHORE FIELD 9,Manhattan
"POINT(-74.00370690838662, 40.74404232131642)",FULTON PROJECTS BUILDING 10,Manhattan
"POINT(-73.78574722485011, 40.86400378615445)",ORCHARD BEACH BUOY 1,The Bronx
"POINT(-73.97856987968716, 40.71767283735978)",BARUCH HOUSES BUILDING 11,Manhattan
"POINT(-73.85927862412225, 40.861549338690956)",PELHAM PARKWAY HOUSES BLDG 7,The Bronx
"POINT(-73.9867982499419, 40.77447291781987)",MABLE BARRETT FITZGERALD DAY CARE CENTER,Manhattan
"POINT(-73.92474314622152, 40.80164561537361)",BRONX SHORE FIELD 6,Manhattan
"POINT(-73.92316559403508, 40.80159331190301)",BRONX SHORE FIELD 7,Manhattan
"POINT(-73.87356300776426, 40.66713461704792)",E NY CITY LINE HOUSES BLDG 31,Brooklyn
"POINT(-73.85689392137499, 40.84806398843698)",MORRIS PARK LIBRARY,The Bronx
"POINT(-73.92139430319958, 40.80010611165054)",BRONX SHORE FIELD 11,Manhattan
"POINT(-73.92198509700677, 40.80086683946937)",BRONX SHORE FIELD 8,Manhattan
"POINT(-73.97250117374807, 40.698413680814404)",BROOKLYN NAVY YARD - BUILDING 3,Brooklyn
