Demographic;Borough;Cohort;Total Cohort;Total Grads - n;Total Grads - % of cohort;Total Regents - n;Total Regents - % of cohort;Total Regents - % of grads;Advanced Regents - n;Advanced Regents - % of cohort;Advanced Regents - % of grads;Regents w/o Advanced - n;Regents w/o Advanced - % of cohort;Regents w/o Advanced - % of grads;Local - n;Local - % of cohort;Local - % of grads;Still Enrolled - n;Still Enrolled - % of cohort;Dropped Out - n;Dropped Out - % of cohort
English Language Learners;Staten Island;2001;171;42;24.6;16;9.4;38.1;4;2.3;9.5;12;7;28.6;26;15.2;61.9;78;45.6;38;22.2
English Language Learners;Staten Island;2002;153;41;26.8;17;11.1;41.5;4;2.6;9.8;13;8.5;31.7;24;15.7;58.5;64;41.8;39;25.5
English Language Learners;Staten Island;2003;201;74;36.8;46;22.9;62.2;5;2.5;6.8;41;20.4;55.4;28;13.9;37.8;73;36.3;36;17.9
English Language Learners;Staten Island;2004;153;36;23.5;15;9.8;41.7;2;1.3;5.6;13;8.5;36.1;21;13.7;58.3;70;45.8;38;24.8
English Language Learners;Staten Island;2005;187;59;31.6;25;13.4;42.4;3;1.6;5.1;22;11.8;37.3;34;18.2;57.6;59;31.6;41;21.9
English Language Learners;Staten Island;2006;153;74;48.4;44;28.8;59.5;13;8.5;17.6;31;20.3;41.9;30;19.6;40.5;40;26.1;24;15.7
English Language Learners;Staten Island;Aug 2006;153;79;51.6;45;29.4;57;13;8.5;16.5;32;20.9;40.5;34;22.2;43;35;22.9;24;15.7
English Proficient Students;Bronx;2001;9,469;4,525;47.8;2,566;27.1;56.7;988;10.4;21.8;1,578;16.7;34.9;1,960;20.7;43.3;2,713;28.7;1,846;19.5
English Proficient Students;Bronx;2002;10,339;4,995;48.3;3,041;29.4;60.9;985;9.5;19.7;2,056;19.9;41.2;1,960;19;39.2;3,322;32.1;1,631;15.8
English Proficient Students;Bronx;2003;11,727;5,998;51.1;3,766;32.1;62.8;1,243;10.6;20.7;2,523;21.5;42.1;2,232;19;37.2;3,468;29.6;1,886;16.1
English Proficient Students;Bronx;2004;12,470;6,808;54.6;4,411;35.4;64.8;1,368;11;20.1;3,043;24.4;44.7;2,397;19.2;35.2;3,458;27.7;1,866;15
English Proficient Students;Bronx;2005;13,235;7,535;56.9;5,301;40.1;70.4;1,491;11.3;19.8;3,810;28.8;50.6;2,234;16.9;29.6;3,258;24.6;1,790;13.5
English Proficient Students;Bronx;2006;13,436;7,733;57.6;5,916;44;76.5;1,528;11.4;19.8;4,388;32.7;56.7;1,817;13.5;23.5;3,102;23.1;1,973;14.7
English Proficient Students;Bronx;Aug 2006;13,436;8,316;61.9;6,183;46;74.4;1,541;11.5;18.5;4,642;34.5;55.8;2,133;15.9;25.6;2,541;18.9;1,951;14.5
English Proficient Students;Brooklyn;2001;17,418;9,067;52.1;5,909;33.9;65.2;2,713;15.6;29.9;3,196;18.3;35.2;3,167;18.2;34.9;5,031;28.9;2,889;16.6
English Proficient Students;Brooklyn;2002;18,906;9,909;52.4;6,905;36.5;69.7;2,819;14.9;28.4;4,086;21.6;41.2;3,011;15.9;30.4;5,603;29.6;2,747;14.5
English Proficient Students;Brooklyn;2003;19,435;10,616;54.6;7,494;38.6;70.6;3,157;16.2;29.7;4,337;22.3;40.9;3,122;16.1;29.4;5,722;29.4;2,656;13.7
English Proficient Students;Brooklyn;2004;20,298;11,573;57;8,491;41.8;73.4;3,599;17.7;31.1;4,892;24.1;42.3;3,082;15.2;26.6;5,688;28;2,526;12.4
English Proficient Students;Brooklyn;2005;20,111;11,739;58.4;9,014;44.8;76.8;3,441;17.1;29.3;5,573;27.7;47.5;2,725;13.5;23.2;5,469;27.2;2,169;10.8
