Demographic;Borough;Cohort;Total Cohort;Total Grads - n;Total Grads - % of cohort;Total Regents - n;Total Regents - % of cohort;Total Regents - % of grads;Advanced Regents - n;Advanced Regents - % of cohort;Advanced Regents - % of grads;Regents w/o Advanced - n;Regents w/o Advanced - % of cohort;Regents w/o Advanced - % of grads;Local - n;Local - % of cohort;Local - % of grads;Still Enrolled - n;Still Enrolled - % of cohort;Dropped Out - n;Dropped Out - % of cohort
General Education;Brooklyn;2005;19,310;11,954;61.9;9,271;48;77.6;3,577;18.5;29.9;5,694;29.5;47.6;2,683;13.9;22.4;5,066;26.2;1,929;10
General Education;Brooklyn;2006;18,994;12,251;64.5;10,130;53.3;82.7;3,674;19.3;30;6,456;34;52.7;2,121;11.2;17.3;4,347;22.9;2,065;10.9
General Education;Brooklyn;Aug 2006;18,994;13,150;69.2;10,616;55.9;80.7;3,717;19.6;28.3;6,899;36.3;52.5;2,534;13.3;19.3;3,460;18.2;2,053;10.8
General Education;Manhattan;2001;11,084;7,188;64.9;4,905;44.3;68.2;1,846;16.7;25.7;3,059;27.6;42.6;2,284;20.6;31.8;2,422;21.9;1,409;12.7
General Education;Manhattan;2002;12,304;7,512;61.1;5,421;44.1;72.2;1,862;15.1;24.8;3,559;28.9;47.4;2,101;17.1;28;3,090;25.1;1,440;11.7
General Education;Manhattan;2003;12,376;7,332;59.2;5,409;43.7;73.8;2,509;20.3;34.2;2,900;23.4;39.6;1,923;15.5;26.2;3,512;28.4;1,396;11.3
General Education;Manhattan;2004;13,280;8,326;62.7;6,286;47.3;75.5;2,790;21;33.5;3,496;26.3;42;2,040;15.4;24.5;3,485;26.2;1,424;10.7
General Education;Manhattan;2005;13,927;9,302;66.8;7,421;53.3;79.8;2,653;19;28.5;4,768;34.2;51.3;1,880;13.5;20.2;3,120;22.4;1,215;8.7
General Education;Manhattan;2006;14,246;9,725;68.3;8,388;58.9;86.3;2,755;19.3;28.3;5,633;39.5;57.9;1,337;9.4;13.7;2,945;20.7;1,260;8.8
General Education;Manhattan;Aug 2006;14,246;10,225;71.8;8,658;60.8;84.7;2,765;19.4;27;5,893;41.4;57.6;1,567;11;15.3;2,456;17.2;1,250;8.8
General Education;Queens;2001;15,012;8,761;58.4;6,389;42.6;72.9;2,680;17.9;30.6;3,709;24.7;42.3;2,379;15.8;27.2;4,120;27.4;2,053;13.7
General Education;Queens;2002;16,896;9,575;56.7;7,175;42.5;74.9;2,829;16.7;29.5;4,346;25.7;45.4;2,405;14.2;25.1;4,461;26.4;2,431;14.4
General Education;Queens;2003;16,633;10,112;60.8;7,845;47.2;77.6;3,387;20.4;33.5;4,458;26.8;44.1;2,267;13.6;22.4;3,969;23.9;2,339;14.1
General Education;Queens;2004;16,626;10,427;62.7;8,279;49.8;79.4;3,576;21.5;34.3;4,703;28.3;45.1;2,148;12.9;20.6;4,093;24.6;2,063;12.4
General Education;Queens;2005;17,145;11,234;65.5;9,058;52.8;80.6;3,597;21;32;5,461;31.9;48.6;2,176;12.7;19.4;3,505;20.4;1,933;11.3
General Education;Queens;2006;17,213;11,822;68.7;10,026;58.2;84.8;3,608;21;30.5;6,418;37.3;54.3;1,796;10.4;15.2;3,320;19.3;1,767;10.3
General Education;Queens;Aug 2006;17,213;12,642;73.4;10,478;60.9;82.9;3,651;21.2;28.9;6,827;39.7;54;2,164;12.6;17.1;2,503;14.5;1,764;10.2
General Education;Staten Island;2001;3,250;2,381;73.3;1,875;57.7;78.7;874;26.9;36.7;1,001;30.8;42;507;15.6;21.3;602;18.5;257;7.9
General Education;Staten Island;2002;3,659;2,563;70;2,012;55;78.5;858;23.4;33.5;1,154;31.5;45;552;15.1;21.5;664;18.1;335;9.2
General Education;Staten Island;2003;3,582;2,638;73.6;2,117;59.1;80.3;875;24.4;33.2;1,242;34.7;47.1;521;14.5;19.7;611;17.1;286;8
General Education;Staten Island;2004;3,430;2,572;75;2,147;62.6;83.5;1,017;29.7;39.5;1,130;32.9;43.9;425;12.4;16.5;588;17.1;263;7.7
General Education;Staten Island;2005;3,683;2,815;76.4;2,360;64.1;83.8;1,044;28.3;37.1;1,316;35.7;46.7;455;12.4;16.2;502;13.6;235;6.4
General Education;Staten Island;2006;3,825;3,038;79.4;2,705;70.7;89;1,179;30.8;38.8;1,526;39.9;50.2;333;8.7;11;443;11.6;273;7.1
General Education;Staten Island;Aug 2006;3,825;3,102;81.1;2,739;71.6;88.3;1,181;30.9;38.1;1,558;40.7;50.2;363;9.5;11.7;380;9.9;272;7.1
Asian;Bronx;2001;638;479;75.1;396;62.1;82.7;314;49.2;65.6;82;12.9;17.1;84;13.2;17.5;92;14.4;60;9.4
Asian;Bronx;2002;681;497;73;451;66.2;90.7;350;51.4;70.4;101;14.8;20.3;46;6.8;9.3;132;19.4;39;5.7
Asian;Bronx;2003;672;552;82.1;487;72.5;88.2;382;56.8;69.2;105;15.6;19;65;9.7;11.8;82;12.2;35;5.2
Asian;Bronx;2004;748;624;83.4;560;74.9;89.7;421;56.3;67.5;139;18.6;22.3;64;8.6;10.3;98;13.1;23;3.1
Asian;Bronx;2005;753;657;87.3;599;79.5;91.2;459;61;69.9;140;18.6;21.3;58;7.7;8.8;56;7.4;28;3.7
Asian;Bronx;2006;830;707;85.2;666;80.2;94.2;491;59.2;69.4;175;21.1;24.8;41;4.9;5.8;78;9.4;34;4.1
Asian;Bronx;Aug 2006;830;732;88.2;678;81.7;92.6;496;59.8;67.8;182;21.9;24.9;54;6.5;7.4;55;6.6;32;3.9
Asian;Brooklyn;2001;2,418;1,543;63.8;1,305;54;84.6;930;38.5;60.3;375;15.5;24.3;239;9.9;15.5;554;22.9;303;12.5
Asian;Brooklyn;2002;2,676;1,765;66;1,557;58.2;88.2;1,052;39.3;59.6;505;18.9;28.6;209;7.8;11.8;556;20.8;327;12.2
Asian;Brooklyn;2003;2,688;1,862;69.3;1,665;61.9;89.4;1,114;41.4;59.8;551;20.5;29.6;197;7.3;10.6;537;20;274;10.2
Asian;Brooklyn;2004;2,888;2,097;72.6;1,901;65.8;90.7;1,315;45.5;62.7;586;20.3;27.9;196;6.8;9.3;527;18.2;249;8.6
Asian;Brooklyn;2005;2,954;2,144;72.6;1,957;66.2;91.3;1,303;44.1;60.8;654;22.1;30.5;187;6.3;8.7;561;19;214;7.2
